Employee_ID,Department,Job_Level,Years_of_Experience,Training_Hours,Monthly_Working_Hours,Projects_Completed,Average_Task_Completion_Time,Absence_Days,Engagement_Score,Monthly_Productivity_Score
EMP00047,Engineering,Junior,3.8,43.0,166.2,3,11.0,4,96.6,69.92
EMP00048,Engineering,Lead,12.9,45.1,192.5,6,9.48,7,45.5,63.96
EMP00049,Finance,Junior,1.7,69.9,139.1,6,7.2,1,53.6,60.79
EMP00050,Sales,Manager,20.4,52.1,202.0,6,6.36,4,63.1,79.65
EMP00051,Engineering,Junior,1.8,42.5,156.3,4,10.94,2,88.5,60.49
EMP00052,Sales,Mid,2.5,24.7,181.9,4,8.59,3,52.5,50.85
EMP00053,Operations,Mid,4.1,27.2,181.0,6,9.14,1,67.1,61.45
EMP00054,Finance,Junior,1.7,46.3,190.7,5,11.73,6,60.0,51.64
EMP00055,Finance,Lead,11.2,60.9,170.4,6,7.2,2,94.3,81.65
EMP00056,Operations,Junior,2.7,40.1,145.0,4,11.54,2,61.7,48.54
EMP00057,HR,Mid,2.3,38.1,170.4,2,9.36,5,70.3,47.8
EMP00058,Marketing,Mid,6.6,37.7,171.9,5,9.47,1,65.0,61.95
EMP00059,Sales,Senior,11.7,35.0,146.3,3,9.06,4,57.0,56.04
EMP00060,Sales,Junior,2.2,50.8,175.6,2,8.26,2,73.4,43.94
EMP00061,Finance,Junior,2.0,31.8,159.9,2,10.42,3,49.1,41.37
EMP00062,HR,Junior,2.4,67.3,184.1,5,9.09,4,42.0,52.51
EMP00063,Marketing,Mid,5.6,44.8,171.6,6,10.67,2,62.2,57.78
EMP00064,Operations,Junior,0.0,88.2,202.5,5,9.68,1,69.8,59.19
EMP00065,Marketing,Manager,10.0,17.4,171.4,5,6.86,3,57.0,64.35
EMP00066,Marketing,Mid,7.4,70.8,181.0,1,7.56,1,66.2,58.25
EMP00067,Marketing,Senior,9.2,63.9,172.0,9,8.06,5,49.4,71.7
EMP00068,Engineering,Mid,2.0,40.8,152.3,2,10.26,2,82.8,56.49
EMP00069,Sales,Junior,0.0,45.1,172.1,8,10.23,1,69.8,52.15
EMP00070,HR,Mid,8.0,33.2,185.5,3,11.76,2,66.2,43.45
EMP00071,Engineering,Junior,1.4,37.4,183.4,3,9.32,1,72.0,52.52
EMP00072,HR,Mid,2.0,47.0,170.9,6,8.29,2,49.3,49.36
EMP00073,Operations,Mid,2.1,47.3,154.6,3,9.32,2,43.8,38.47
EMP00074,Engineering,Mid,3.3,23.0,184.0,8,9.82,4,68.5,58.49
EMP00075,Sales,Manager,18.5,69.4,180.9,8,4.37,2,68.2,82.25
EMP00076,Engineering,Junior,1.3,47.1,186.8,0,11.8,1,76.8,46.15
EMP00077,Engineering,Mid,7.1,48.0,171.2,3,8.45,1,65.6,67.91
EMP00078,Finance,Junior,2.2,41.6,151.4,2,12.22,3,71.9,40.18
EMP00079,Marketing,Mid,5.0,43.0,182.5,2,10.97,2,81.0,59.78
EMP00080,Operations,Senior,16.0,37.6,174.9,4,8.14,4,58.9,64.38
EMP00081,Finance,Junior,1.5,51.0,194.5,3,9.91,1,66.7,56.33
EMP00082,HR,Mid,4.0,46.8,175.4,8,7.82,3,63.5,62.78
EMP00083,Operations,Mid,2.9,59.1,174.4,3,8.51,4,58.5,57.46
EMP00084,Sales,Junior,2.2,54.4,180.8,5,8.34,4,64.0,53.71
EMP00085,Sales,Manager,24.7,45.6,166.6,10,3.73,4,82.4,93.28
EMP00086,Sales,Mid,2.0,46.9,166.0,4,9.92,3,73.0,60.42
EMP00087,Finance,Senior,7.9,46.5,173.6,4,8.8,5,72.9,63.5
EMP00088,HR,Mid,6.8,43.4,162.1,2,6.67,3,60.6,47.3
EMP00089,Sales,Manager,14.8,50.0,171.8,8,5.99,9,51.2,73.89
EMP00090,Marketing,Junior,0.0,55.8,202.2,3,9.02,9,68.7,54.59
EMP00091,Sales,Mid,6.1,44.6,189.6,4,10.99,1,76.9,60.55
EMP00092,Finance,Senior,5.0,40.2,179.3,6,5.81,2,83.7,72.03
EMP00093,HR,Mid,7.2,45.4,196.7,3,11.48,7,36.6,44.35
EMP00094,Engineering,Mid,5.3,47.5,163.5,3,9.87,0,99.4,72.54
EMP00095,Engineering,Manager,12.0,34.2,209.9,5,3.48,3,75.0,78.29
EMP00096,Marketing,Mid,2.0,38.6,168.6,2,8.62,3,74.9,45.56
EMP00097,Engineering,Senior,5.0,54.5,203.1,4,9.37,1,49.1,60.48
EMP00098,Sales,Senior,13.4,55.4,203.0,4,6.62,6,59.2,69.28
EMP00099,Sales,Lead,11.8,65.8,150.5,4,7.07,5,71.9,64.42
EMP00100,Customer_Support,Lead,13.2,29.9,195.5,7,10.44,4,43.9,54.99
EMP00101,Customer_Support,Mid,2.0,57.0,171.0,5,8.93,5,23.3,42.97
EMP00102,Finance,Junior,1.5,22.4,167.0,4,8.43,5,67.0,49.68
EMP00103,Engineering,Junior,0.0,63.4,182.3,3,11.43,2,69.4,50.96
EMP00104,Customer_Support,Senior,8.8,21.2,160.9,7,6.25,2,75.3,73.45
EMP00105,Operations,Lead,17.4,24.2,182.0,5,7.65,3,58.1,64.11
EMP00106,Finance,Mid,5.4,52.0,161.8,5,9.86,5,62.0,58.76
EMP00107,HR,Junior,2.0,41.7,177.5,0,12.43,2,74.4,48.2
EMP00108,Engineering,Junior,0.0,39.6,193.7,7,10.73,2,82.4,62.29
EMP00109,Sales,Mid,3.8,39.7,180.4,2,8.94,5,53.5,50.73
EMP00110,Customer_Support,Lead,12.1,49.9,170.0,10,7.37,1,69.3,81.58
EMP00111,HR,Junior,1.9,37.0,182.6,2,12.88,3,59.7,42.67
EMP00112,Engineering,Senior,9.5,42.2,155.3,5,8.21,1,70.2,67.95
EMP00113,Engineering,Senior,7.4,37.3,163.3,8,8.11,6,78.0,79.25
EMP00114,Marketing,Manager,18.3,47.3,169.0,10,6.1,0,74.1,93.66
EMP00115,Sales,Junior,0.0,63.7,186.0,3,10.82,6,65.8,50.47
EMP00116,Operations,Manager,17.3,7.5,180.7,6,5.8,7,47.0,65.72
EMP00117,Finance,Senior,7.6,58.7,182.5,1,6.94,3,40.6,51.92
EMP00118,Finance,Senior,6.6,33.8,174.6,7,7.59,2,60.7,57.75
EMP00119,HR,Junior,1.0,54.5,164.0,1,8.77,1,77.7,54.13
EMP00120,Marketing,Mid,3.4,32.9,195.8,6,9.11,5,69.4,57.64
EMP00121,Marketing,Senior,10.4,48.6,165.2,6,7.13,4,66.9,69.31
EMP00122,Finance,Mid,2.3,85.3,180.9,7,9.23,3,62.9,75.9
EMP00123,Sales,Mid,6.4,48.9,173.4,4,8.69,4,65.7,62.32
EMP00124,HR,Mid,5.4,40.1,182.9,3,9.41,1,54.1,53.94
EMP00125,Sales,Mid,5.5,43.5,166.5,3,7.68,5,71.4,55.6
EMP00126,HR,Junior,2.6,29.0,189.7,3,12.17,2,76.2,53.1
EMP00127,Engineering,Mid,3.2,68.7,194.3,3,11.1,1,65.7,63.73
EMP00128,Sales,Junior,1.8,55.7,188.9,1,10.65,1,67.2,45.87
EMP00129,Sales,Lead,12.8,23.3,177.2,9,8.34,4,41.4,63.73
EMP00130,Marketing,Manager,16.0,19.8,168.9,12,4.92,4,66.2,86.54
EMP00131,Sales,Junior,0.0,51.2,214.5,4,9.33,2,60.4,47.45
EMP00132,Customer_Support,Junior,0.7,65.0,161.1,6,9.39,2,73.1,53.34
EMP00133,Marketing,Junior,0.0,33.7,187.3,6,8.16,8,61.6,45.99
EMP00134,Engineering,Mid,4.9,63.7,179.7,5,8.58,6,80.4,74.97
EMP00135,Marketing,Lead,16.3,37.6,174.1,11,10.0,2,59.3,71.41
EMP00136,Sales,Mid,2.0,33.0,177.6,4,9.67,3,34.6,37.09
EMP00137,Customer_Support,Junior,0.0,44.0,167.9,2,12.29,7,55.3,26.27
EMP00138,HR,Junior,1.6,77.2,181.0,4,11.98,0,68.4,56.87
EMP00139,Operations,Junior,2.2,30.2,179.4,3,8.52,6,61.8,41.31
EMP00140,Sales,Lead,13.2,28.0,212.5,8,7.3,0,64.0,78.94
EMP00141,HR,Senior,8.7,57.3,190.0,6,7.68,1,59.9,66.97
EMP00142,HR,Mid,4.2,50.2,182.2,3,10.52,1,62.1,59.15
EMP00143,Customer_Support,Mid,2.0,35.1,183.1,9,10.18,1,44.5,50.11
EMP00144,Marketing,Manager,13.1,49.5,200.8,11,9.25,3,40.0,74.73
EMP00145,HR,Mid,2.0,62.2,161.4,4,9.81,3,64.7,59.65
EMP00146,Engineering,Lead,18.5,44.0,172.4,9,7.67,5,61.1,85.98
EMP00147,Engineering,Lead,10.3,29.8,148.3,9,6.76,4,83.0,86.63
EMP00148,Marketing,Mid,3.9,40.1,182.8,5,7.2,2,37.8,54.78
EMP00149,HR,Lead,9.5,43.3,186.9,14,8.71,4,69.5,81.88
EMP00150,Sales,Junior,2.0,31.3,161.1,5,10.08,2,87.5,59.36
EMP00151,Operations,Senior,10.3,62.9,195.1,7,8.78,3,57.8,60.6
EMP00152,Operations,Junior,2.2,76.5,164.9,1,11.82,6,60.0,40.56
EMP00153,Sales,Mid,8.0,43.5,170.2,5,9.15,3,67.1,65.32
EMP00154,Marketing,Junior,1.5,56.3,176.7,3,11.1,4,70.1,54.59
EMP00155,Sales,Junior,1.2,68.8,197.3,3,11.41,5,57.1,40.57
EMP00156,Finance,Junior,0.2,80.3,163.0,4,9.92,4,50.9,51.3
EMP00157,Engineering,Mid,2.0,70.4,179.1,4,8.68,3,77.8,61.29
EMP00158,Finance,Mid,2.0,21.0,185.8,6,12.29,1,40.1,46.41
EMP00159,Finance,Mid,4.9,42.3,183.0,10,9.65,3,73.0,76.05
EMP00160,Operations,Mid,8.0,54.5,183.5,7,9.08,3,55.3,51.65
EMP00161,Sales,Manager,21.6,27.6,185.7,10,4.35,2,62.0,80.03
EMP00162,Customer_Support,Manager,22.0,61.7,167.2,14,6.02,1,51.7,90.38
EMP00163,Engineering,Junior,1.0,75.4,198.6,8,10.46,2,87.2,73.0
EMP00164,Sales,Mid,4.9,34.8,173.4,3,7.8,2,65.0,53.38
EMP00165,Marketing,Senior,10.0,40.6,171.6,6,9.08,2,60.1,69.68
EMP00166,Engineering,Senior,7.7,31.8,193.9,5,8.01,4,65.8,65.37
EMP00167,Operations,Mid,5.9,44.1,166.2,5,5.88,3,58.2,59.37
EMP00168,Operations,Senior,5.0,39.6,179.5,5,8.02,0,88.8,69.47
EMP00169,Engineering,Junior,0.0,65.3,164.9,5,11.51,1,54.2,51.53
EMP00170,Customer_Support,Mid,3.8,33.7,210.3,4,8.01,3,71.0,60.47
EMP00171,Engineering,Senior,5.0,4.0,207.3,7,12.14,2,76.8,62.09
EMP00172,Marketing,Senior,16.0,18.9,173.5,7,7.88,0,82.5,82.23
EMP00173,Engineering,Lead,15.2,23.6,182.3,8,10.1,0,77.5,84.8
EMP00174,Customer_Support,Junior,0.5,41.2,175.1,4,8.54,0,58.0,53.22
EMP00175,Sales,Junior,1.6,53.8,170.1,6,8.23,1,74.2,69.59
EMP00176,Sales,Junior,1.4,34.8,176.7,3,9.62,3,64.8,49.22
EMP00177,HR,Junior,4.0,32.8,174.4,4,7.81,3,75.1,56.2
EMP00178,Customer_Support,Junior,0.0,37.1,153.7,1,9.51,0,75.1,48.63
EMP00179,Operations,Mid,3.5,30.3,178.7,3,11.53,3,61.1,45.55
EMP00180,Finance,Mid,4.7,38.7,174.4,0,8.71,2,57.9,49.24
EMP00181,Operations,Senior,13.4,34.0,179.4,5,5.35,3,52.3,59.86
EMP00182,Operations,Mid,3.2,57.3,173.9,0,9.77,4,65.4,53.74
EMP00183,Marketing,Junior,1.3,36.2,170.0,0,11.82,5,53.5,32.41
EMP00184,Engineering,Senior,13.0,37.6,187.2,7,5.01,5,65.8,71.9
EMP00185,Operations,Junior,0.0,42.8,182.5,1,8.26,6,48.4,37.86
EMP00186,Finance,Lead,15.6,51.1,194.5,4,6.99,4,69.1,69.25
EMP00187,Engineering,Junior,1.0,48.7,181.9,2,8.33,0,61.0,50.6
EMP00188,Sales,Mid,5.9,62.8,172.2,10,8.74,1,46.6,61.63
EMP00189,Finance,Lead,10.5,21.7,183.6,9,9.65,1,49.7,72.51
EMP00190,Engineering,Mid,2.0,46.3,147.3,3,8.99,6,63.1,47.15
EMP00191,Customer_Support,Senior,7.0,34.4,204.5,1,9.11,7,52.2,45.51
EMP00192,Engineering,Senior,9.0,24.6,178.8,5,8.93,2,73.0,69.39
EMP00193,Sales,Junior,1.1,50.0,205.6,2,8.89,5,60.1,48.78
EMP00194,Operations,Senior,6.6,69.0,162.8,9,7.05,3,64.4,82.53
EMP00195,Sales,Lead,19.4,26.2,159.4,8,7.78,3,67.4,82.06
EMP00196,Sales,Manager,13.7,33.1,180.1,10,6.9,1,70.9,89.61
EMP00197,Marketing,Mid,6.3,27.3,180.1,7,9.21,5,41.1,45.64
EMP00198,Operations,Mid,4.6,25.1,179.7,4,9.11,3,46.5,48.91
EMP00199,Engineering,Senior,5.1,31.2,177.6,6,8.56,4,76.7,71.35
EMP00200,Engineering,Mid,4.1,40.3,166.2,3,9.5,3,72.5,53.38
EMP00201,Operations,Junior,2.5,44.9,154.2,6,8.24,3,71.7,54.87
EMP00202,Customer_Support,Junior,1.0,47.6,179.0,1,10.56,6,39.5,37.66
EMP00203,Marketing,Junior,1.3,26.3,157.0,7,8.57,5,58.3,55.55
EMP00204,Sales,Mid,2.0,37.6,155.7,1,12.78,6,58.4,45.59
EMP00205,Sales,Junior,1.0,58.5,169.7,4,10.87,5,64.0,48.68
EMP00206,Engineering,Junior,0.0,30.6,181.0,4,10.55,2,70.4,51.18
EMP00207,Sales,Junior,0.7,45.7,202.8,3,8.56,2,67.6,54.36
EMP00208,Finance,Manager,14.4,39.4,188.7,7,8.28,1,61.6,77.84
EMP00209,Sales,Junior,1.0,39.3,195.1,4,9.35,1,78.5,57.51
EMP00210,Marketing,Junior,1.6,56.1,184.2,3,10.77,4,84.3,47.03
EMP00211,Finance,Mid,2.5,24.2,180.1,3,8.51,5,49.6,48.1
EMP00212,Marketing,Junior,2.2,64.3,210.1,3,7.16,3,64.5,58.09
EMP00213,Engineering,Manager,19.7,40.5,156.5,4,8.15,1,79.6,81.44
EMP00214,Operations,Lead,21.7,39.8,169.2,3,6.87,5,67.0,69.19
EMP00215,Finance,Mid,6.9,63.9,170.3,2,8.29,8,58.1,53.02
EMP00216,Finance,Mid,4.1,42.1,187.5,3,11.98,2,66.1,49.88
EMP00217,Sales,Mid,5.1,37.7,161.3,2,9.06,5,43.0,47.29
EMP00218,Sales,Junior,1.2,71.6,185.7,2,11.68,1,61.8,46.27
EMP00219,Customer_Support,Junior,1.2,78.6,183.1,2,7.7,6,40.5,31.13
EMP00220,Engineering,Junior,0.0,40.6,186.4,0,9.69,4,76.1,47.24
EMP00221,Engineering,Junior,2.1,49.3,186.1,6,9.45,1,56.6,54.23
EMP00222,HR,Mid,2.7,62.7,196.5,4,8.04,0,68.0,59.61
EMP00223,Finance,Junior,0.7,49.8,174.3,4,8.81,5,66.8,49.92
EMP00224,Customer_Support,Junior,2.4,59.9,182.4,6,10.02,2,58.9,52.26
EMP00225,Engineering,Mid,4.4,58.7,164.7,9,8.94,3,62.4,68.9
EMP00226,Customer_Support,Mid,2.0,38.6,161.5,7,9.25,6,55.5,48.23
EMP00227,Sales,Junior,3.1,57.3,199.7,3,9.0,3,76.2,55.77
EMP00228,Marketing,Junior,1.3,50.9,163.6,4,11.4,7,58.9,48.52
EMP00229,Marketing,Junior,0.3,32.7,184.0,2,8.37,3,64.3,46.32
EMP00230,Sales,Junior,1.5,36.2,182.4,3,10.02,4,55.3,46.88
EMP00231,Sales,Lead,11.5,29.2,191.4,7,6.86,2,74.2,80.67
EMP00232,HR,Lead,19.9,52.9,151.8,9,5.57,2,66.9,78.81
EMP00233,Customer_Support,Mid,4.7,61.4,187.5,2,6.09,4,48.8,52.5
EMP00234,Marketing,Mid,5.2,58.2,174.2,5,9.02,2,64.1,69.52
EMP00235,Customer_Support,Senior,7.2,49.6,166.6,7,7.58,4,55.1,62.86
EMP00236,Operations,Senior,13.0,49.2,171.5,4,8.02,4,76.7,63.1
EMP00237,HR,Junior,1.9,55.2,189.5,2,14.19,5,65.5,45.34
EMP00238,Operations,Junior,1.1,57.1,185.2,0,10.24,2,43.4,37.12
EMP00239,Sales,Mid,5.1,54.1,173.2,5,9.74,3,68.0,52.48
EMP00240,Sales,Mid,2.7,25.9,159.1,4,8.33,3,83.4,57.28
EMP00241,Operations,Junior,0.8,39.1,160.0,4,10.28,1,74.4,45.96
EMP00242,Operations,Junior,2.2,35.6,185.5,2,9.68,4,46.8,32.69
EMP00243,Engineering,Mid,3.8,63.6,157.1,8,8.11,8,66.8,69.66
EMP00244,Marketing,Junior,2.1,75.8,173.3,5,8.58,2,63.6,47.18
EMP00245,Marketing,Mid,5.6,14.5,212.5,4,9.68,4,63.8,60.51
EMP00246,Operations,Senior,11.5,66.5,181.4,10,6.9,5,64.6,77.33
EMP00247,Marketing,Mid,4.1,48.3,185.4,1,7.91,1,59.9,60.05
EMP00248,HR,Junior,1.1,66.2,160.1,4,11.84,4,55.0,53.3
EMP00249,Engineering,Junior,0.0,58.6,157.8,3,12.29,3,81.4,59.78
EMP00250,HR,Lead,8.0,60.6,186.1,4,6.68,9,52.5,59.33
EMP00251,Finance,Mid,3.9,50.1,171.0,4,10.73,4,53.4,49.12
EMP00252,Operations,Junior,2.0,30.5,191.4,4,7.57,5,46.4,45.06
EMP00253,HR,Junior,0.6,49.4,177.0,3,8.73,5,73.3,55.76
EMP00254,Engineering,Lead,18.3,46.7,215.0,9,4.84,2,71.3,98.72
EMP00255,Engineering,Senior,6.1,39.8,168.4,10,7.89,1,80.6,75.0
EMP00256,Finance,Lead,10.6,48.9,180.4,7,7.61,5,53.6,73.25
EMP00257,Operations,Senior,8.1,42.0,163.9,8,6.56,6,45.0,60.68
EMP00258,Sales,Mid,8.0,38.1,190.8,3,8.07,3,56.7,54.32
EMP00259,Sales,Mid,2.6,30.7,182.6,4,8.11,2,59.8,56.05
EMP00260,Marketing,Junior,1.8,45.1,162.9,3,10.22,3,66.5,37.79
EMP00261,Sales,Senior,11.2,46.1,172.0,7,8.04,4,41.8,60.47
EMP00262,Operations,Mid,6.7,17.6,195.6,9,10.8,1,65.7,55.88
EMP00263,Engineering,Junior,1.7,39.3,193.9,6,7.46,2,59.3,62.51
EMP00264,Sales,Lead,17.9,9.0,156.6,7,8.18,7,54.2,66.03
EMP00265,Customer_Support,Mid,2.2,37.7,169.9,5,11.08,2,72.1,61.74
EMP00266,Sales,Junior,0.0,69.0,201.9,0,9.39,5,35.8,43.36
EMP00267,Engineering,Mid,5.8,29.2,174.1,5,8.47,1,73.9,62.17
EMP00268,Sales,Lead,10.2,49.5,179.0,5,8.13,3,65.8,69.11
EMP00269,Sales,Lead,13.7,81.7,190.8,5,8.59,2,52.2,76.71
EMP00270,Sales,Mid,5.9,68.8,157.7,5,6.1,1,56.6,63.31
EMP00271,Sales,Manager,14.2,37.0,163.2,11,6.11,2,76.7,89.09
EMP00272,Sales,Lead,10.8,51.9,171.9,6,8.19,1,85.6,84.17
EMP00273,Sales,Lead,13.1,18.5,193.3,14,7.36,2,74.8,92.16
EMP00274,Marketing,Lead,21.3,15.4,190.7,12,6.15,3,86.6,93.15
EMP00275,Finance,Mid,3.5,47.4,186.5,6,7.02,2,54.7,65.79
EMP00276,Engineering,Senior,7.3,49.0,174.5,5,7.73,5,51.0,66.67
EMP00277,Engineering,Mid,2.1,63.4,192.2,6,8.96,2,69.4,73.94
EMP00278,Marketing,Senior,9.2,34.5,174.3,3,6.91,2,73.7,65.85
EMP00279,Operations,Junior,1.6,53.9,184.5,3,11.48,2,37.7,45.44
EMP00280,Operations,Senior,10.2,45.4,189.2,6,7.5,5,48.9,58.91
EMP00281,Sales,Manager,19.9,33.0,200.2,9,4.76,2,52.2,83.35
EMP00282,Engineering,Mid,2.0,45.9,175.6,5,12.26,3,74.3,63.68
EMP00283,Engineering,Manager,26.3,22.2,171.3,7,5.69,0,72.7,93.2
EMP00284,Engineering,Mid,3.3,51.2,194.5,5,9.56,5,60.7,60.88
EMP00285,Marketing,Junior,2.1,53.9,195.6,5,9.67,2,66.2,56.19
EMP00286,HR,Junior,2.3,44.4,168.8,3,8.88,1,52.3,50.67
EMP00287,Sales,Senior,10.2,53.0,160.9,2,6.85,3,56.9,61.09
EMP00288,Engineering,Mid,5.6,62.4,193.5,5,7.37,4,54.8,63.51
EMP00289,Marketing,Mid,2.3,57.2,153.4,5,9.01,1,62.2,61.19
EMP00290,Sales,Senior,9.8,27.4,152.7,8,5.96,6,52.4,56.48
EMP00291,Operations,Mid,4.7,48.5,172.6,7,10.4,2,68.3,62.21
EMP00292,Sales,Mid,2.0,33.3,176.4,5,8.58,2,61.7,47.08
EMP00293,Customer_Support,Lead,13.6,40.4,160.2,12,8.39,1,55.3,72.26
EMP00294,Sales,Senior,7.0,29.4,178.1,3,7.3,0,83.2,67.42
EMP00295,Operations,Senior,7.3,62.2,178.7,6,8.97,0,64.6,66.04
EMP00296,Customer_Support,Mid,4.0,58.7,168.3,6,7.27,2,53.6,50.04
EMP00297,Customer_Support,Manager,18.7,52.3,203.5,10,5.24,2,51.0,73.85
EMP00298,Operations,Junior,1.6,66.8,181.0,4,9.2,6,45.8,43.71
EMP00299,Operations,Junior,0.0,46.9,190.8,4,10.5,2,59.2,39.36
EMP00300,Finance,Junior,3.0,44.6,154.6,5,7.97,4,66.7,49.84
EMP00301,Operations,Mid,2.2,73.1,154.5,6,11.52,2,37.0,45.61
EMP00302,Sales,Senior,5.6,40.5,181.4,7,8.63,8,45.6,59.42
EMP00303,Marketing,Senior,5.0,22.7,201.0,4,8.66,4,57.8,51.4
EMP00304,Marketing,Mid,4.3,62.1,160.9,0,7.16,3,50.8,39.58
EMP00305,Operations,Junior,2.0,53.2,177.0,4,10.3,1,60.5,55.75
EMP00306,HR,Senior,8.7,65.6,157.7,1,9.76,3,68.2,61.69
EMP00307,Engineering,Manager,12.9,38.6,164.9,7,5.64,2,68.5,83.14
EMP00308,Marketing,Junior,0.1,50.7,177.7,5,9.29,2,70.6,55.44
EMP00309,Engineering,Junior,0.6,73.9,168.1,0,9.7,0,63.0,60.59
EMP00310,Sales,Junior,1.8,27.9,156.7,0,9.45,4,61.4,41.32
EMP00311,HR,Mid,3.5,38.2,156.4,4,7.97,5,54.0,50.97
EMP00312,HR,Junior,2.3,37.7,148.6,4,10.38,1,69.4,49.93
EMP00313,Engineering,Mid,2.1,14.1,181.7,4,11.15,3,70.9,57.05
EMP00314,Engineering,Senior,11.4,56.1,183.4,7,7.75,1,55.6,69.23
EMP00315,Engineering,Mid,3.2,38.6,183.3,4,8.08,5,68.1,64.66
EMP00316,Engineering,Mid,2.6,60.6,162.3,4,7.87,5,69.5,67.19
EMP00317,Engineering,Junior,0.9,56.8,189.1,3,13.41,4,73.4,57.84
EMP00318,Finance,Lead,22.4,48.1,184.9,7,5.35,2,66.8,84.07
EMP00319,Engineering,Mid,2.0,40.2,175.1,5,10.22,6,61.3,57.17
EMP00320,Customer_Support,Mid,6.7,35.5,172.8,4,6.53,5,67.2,50.81
EMP00321,Customer_Support,Junior,2.5,52.3,165.9,5,8.74,2,64.3,47.18
EMP00322,HR,Senior,5.0,56.8,177.7,4,10.26,0,57.3,61.81
EMP00323,Engineering,Lead,12.5,38.2,197.6,7,6.11,4,56.3,79.39
EMP00324,Marketing,Junior,0.0,40.5,190.9,4,8.99,9,56.2,37.76
EMP00325,Operations,Junior,0.2,33.0,171.4,2,10.62,2,42.3,31.1
